Vrest,Upstroke,Vpeak,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,GKr_0.06__Label,PCa_15.13__Label
-87.837,57.495,41.475,140.28,206.41,226.45,284.57,58.116,0.00024046,0.00033065,258.52,577.15,318.64,9.2603e-05,1,1
-87.881,50.444,38.006,146.29,226.45,248.5,320.64,72.144,0.0004371,0.00049755,194.39,499,304.61,6.3338e-05,1,1
-87.933,50.315,36.246,116.23,160.32,174.35,224.45,50.1,0.00036279,0.00048351,196.39,488.98,292.59,0.00012275,0,0
-87.734,56.381,41.825,124.25,180.36,196.39,252.51,56.112,0.00041491,0.00052192,236.47,579.16,342.69,0.00011191,1,1
-88.18,55.327,41.528,140.28,200.4,216.43,276.55,60.12,0.00047626,0.00056206,204.41,523.05,318.64,8.9991e-05,1,0
-88.103,53.237,38.786,142.28,208.42,226.45,294.59,68.136,0.00046168,0.00052631,188.38,490.98,302.61,6.758e-05,0,1
-87.948,58.051,40.912,116.23,180.36,200.4,266.53,66.132,0.00047995,0.00056016,156.31,418.84,262.53,8.1544e-05,0,0
-87.659,51.855,34.078,128.26,178.36,194.39,252.51,58.116,0.00039712,0.00052531,206.41,525.05,318.64,0.0001313,0,0
-88.121,50.714,35.538,96.192,132.26,142.28,180.36,38.076,0.00025163,0.00031786,186.37,458.92,272.55,6.7177e-05,0,0
-88.128,53.764,36.127,110.22,154.31,166.33,214.43,48.096,0.00030599,0.00037963,236.47,585.17,348.7,7.7395e-05,0,0
-88.242,53.547,39.544,172.34,252.51,280.56,380.76,100.2,0.00051896,0.00057181,148.3,450.9,302.61,5.4671e-05,1,1
-87.993,52.46,39.221,150.3,222.44,242.48,314.63,72.144,0.00051647,0.00060846,174.35,460.92,286.57,9.4584e-05,1,1
-87.909,55.384,40.392,114.23,156.31,166.33,212.42,46.092,0.0004394,0.00056096,198.4,503.01,304.61,0.0001248,1,0
-88.335,51.135,38.085,114.23,152.3,162.32,208.42,46.092,0.00035931,0.00045001,256.51,627.25,370.74,9.6537e-05,1,0
-88.156,50.253,36.701,118.24,170.34,184.37,240.48,56.112,0.00028871,0.00037894,262.53,621.24,358.72,9.4596e-05,0,0
-87.867,52.935,36.496,152.3,216.43,236.47,296.59,60.12,0.00032831,0.0003951,254.51,605.21,350.7,7.1334e-05,1,1
-88.148,54.553,36.371,96.192,130.26,140.28,182.36,42.084,0.00050086,0.0005447,126.25,336.67,210.42,4.4422e-05,0,0
-88.058,52.574,38.755,102.2,134.27,144.29,180.36,36.072,0.00033866,0.00045067,246.49,611.22,364.73,0.00011694,0,0
-88.165,56.601,40.733,152.3,218.44,240.48,316.63,76.152,0.00029951,0.0003976,190.38,476.95,286.57,9.9187e-05,0,1
-88.05,49.444,37.445,150.3,216.43,236.47,298.6,62.124,0.000279,0.00038414,242.48,577.15,334.67,0.0001081,0,0
-88.171,52.886,35.827,166.33,240.48,268.54,358.72,90.18,0.00023422,0.00031772,308.62,665.33,356.71,8.7913e-05,0,1
-87.928,56.355,40.232,134.27,202.4,220.44,276.55,56.112,0.00038216,0.0004625,196.39,505.01,308.62,8.321e-05,0,0
-87.978,51.43,36.13,152.3,238.48,266.53,358.72,92.184,0.00027651,0.0003708,264.53,607.21,342.69,9.787e-05,1,1
-87.824,56.447,40.898,128.26,204.41,226.45,296.59,70.14,0.00038679,0.00045716,240.48,585.17,344.69,7.5231e-05,1,1
-87.934,55.879,40.434,152.3,218.44,236.47,302.61,66.132,0.00024503,0.00034677,292.59,639.28,346.69,0.00010562,1,1
-87.909,53.578,40.455,160.32,234.47,258.52,324.65,66.132,0.00022748,0.00034356,300.6,635.27,334.67,0.00011945,1,1
-87.627,54.248,37.416,146.29,222.44,242.48,308.62,66.132,0.00035317,0.00046759,194.39,490.98,296.59,0.00011642,1,1
-88.193,53.725,38.264,140.28,198.4,216.43,274.55,58.116,0.00022291,0.00029012,230.46,519.04,288.58,6.8531e-05,0,0
